EGP_ID,Level
1,A1
2,A1
3,A1
4,A1
5,A1
11,A1
12,A1
13,A1
14,A1
15,A1
16,A1
17,A1
18,A1
19,A1
20,A1
21,A1
22,A1
23,A1
24,A1
25,A1
26,A1
27,A1
28,A1
30,A1
31,A1
32,A1
33,A1
36,A1
37,A1
38,A1
39,A1
40,A1
41,A1
43,A1
46,A1
47,A1
48,A1
49,A1
51,A1
52,A1
53,A1
58,A1
60,A1
107,A1
108,A1
109,A1
63,A1
64,A1
65,A1
66,A1
67,A1
68,A1
69,A1
70,A1
71,A1
72,A1
73,A1
74,A1
75,A1
76,A1
78,A1
79,A1
80,A1
82,A1
83,A1
84,A1
86,A1
87,A1
88,A1
89,A1
90,A1
91,A1
92,A1
93,A1
94,A1
95,A1
96,A1
97,A1
98,A1
99,A1
100,A1
101,A1
102,A1
103,A1
104,A1
105,A1
106,A1
110,A2
111,A2
112,A2
113,A2
114,A2
115,A2
116,A2
117,A2
118,A2
119,A2
120,A2
121,A2
122,A2
123,A2
125,A2
126,A2
130,A2
131,A2
132,A2
133,A2
134,A2
135,A2
136,A2
137,A2
148,A2
149,A2
150,A2
151,A2
152,A2
153,A2
154,A2
155,A2
156,A2
157,A2
158,A2
160,A2
161,A2
162,A2
168,A2
169,A2
170,A2
171,A2
172,A2
173,A2
174,A2
175,A2
176,A2
177,A2
178,A2
179,A2
180,A2
181,A2
182,A2
183,A2
379,A2
380,A2
187,A2
189,A2
190,A2
194,A2
197,A2
200,A2
203,A2
204,A2
205,A2
206,A2
207,A2
208,A2
209,A2
210,A2
211,A2
212,A2
214,A2
215,A2
216,A2
222,A2
223,A2
228,A2
231,A2
234,A2
235,A2
236,A2
238,A2
240,A2
242,A2
243,A2
245,A2
246,A2
249,A2
250,A2
251,A2
255,A2
256,A2
260,A2
261,A2
262,A2
267,A2
395,A2
396,A2
397,A2
388,A2
389,A2
390,A2
391,A2
392,A2
393,A2
394,A2
268,A2
269,A2
270,A2
271,A2
272,A2
273,A2
274,A2
275,A2
276,A2
277,A2
278,A2
279,A2
280,A2
281,A2
282,A2
284,A2
285,A2
286,A2
287,A2
290,A2
291,A2
292,A2
293,A2
296,A2
297,A2
298,A2
299,A2
301,A2
302,A2
303,A2
304,A2
305,A2
306,A2
307,A2
312,A2
313,A2
314,A2
315,A2
316,A2
320,A2
321,A2
322,A2
323,A2
324,A2
325,A2
326,A2
330,A2
334,A2
335,A2
336,A2
337,A2
338,A2
339,A2
341,A2
342,A2
343,A2
346,A2
349,A2
350,A2
351,A2
352,A2
353,A2
354,A2
355,A2
357,A2
358,A2
359,A2
360,A2
361,A2
385,A2
386,A2
363,A2
364,A2
365,A2
366,A2
367,A2
368,A2
369,A2
370,A2
371,A2
372,A2
373,A2
375,A2
376,A2
377,A2
378,A2
401,B1
402,B1
403,B1
404,B1
405,B1
410,B1
411,B1
412,B1
413,B1
414,B1
415,B1
416,B1
417,B1
420,B1
421,B1
422,B1
433,B1
434,B1
436,B1
437,B1
442,B1
443,B1
444,B1
445,B1
446,B1
448,B1
449,B1
454,B1
455,B1
456,B1
457,B1
458,B1
459,B1
460,B1
461,B1
462,B1
470,B1
471,B1
473,B1
475,B1
476,B1
477,B1
483,B1
484,B1
485,B1
487,B1
488,B1
489,B1
490,B1
491,B1
492,B1
493,B1
494,B1
500,B1
501,B1
502,B1
510,B1
511,B1
514,B1
515,B1
516,B1
519,B1
520,B1
525,B1
526,B1
527,B1
529,B1
530,B1
533,B1
536,B1
537,B1
538,B1
543,B1
548,B1
549,B1
555,B1
556,B1
561,B1
562,B1
563,B1
564,B1
728,B1
729,B1
730,B1
732,B1
733,B1
734,B1
574,B1
575,B1
577,B1
580,B1
581,B1
582,B1
583,B1
584,B1
586,B1
587,B1
588,B1
589,B1
591,B1
592,B1
593,B1
594,B1
595,B1
596,B1
599,B1
600,B1
601,B1
602,B1
605,B1
609,B1
610,B1
611,B1
613,B1
614,B1
615,B1
620,B1
621,B1
626,B1
627,B1
628,B1
629,B1
633,B1
634,B1
635,B1
636,B1
641,B1
645,B1
646,B1
647,B1
650,B1
651,B1
653,B1
655,B1
657,B1
659,B1
661,B1
662,B1
663,B1
664,B1
665,B1
666,B1
669,B1
670,B1
673,B1
674,B1
676,B1
678,B1
679,B1
680,B1
682,B1
683,B1
684,B1
685,B1
718,B1
719,B1
720,B1
722,B1
723,B1
724,B1
687,B1
688,B1
689,B1
690,B1
691,B1
692,B1
693,B1
694,B1
695,B1
697,B1
698,B1
699,B1
700,B1
701,B1
702,B1
739,B2
740,B2
744,B2
745,B2
747,B2
749,B2
750,B2
753,B2
754,B2
755,B2
757,B2
758,B2
760,B2
761,B2
762,B2
763,B2
768,B2
770,B2
771,B2
779,B2
780,B2
782,B2
784,B2
785,B2
786,B2
787,B2
789,B2
790,B2
791,B2
797,B2
798,B2
800,B2
801,B2
805,B2
807,B2
809,B2
813,B2
814,B2
816,B2
817,B2
831,B2
836,B2
837,B2
838,B2
844,B2
846,B2
848,B2
849,B2
852,B2
977,B2
976,B2
855,B2
856,B2
857,B2
858,B2
859,B2
860,B2
861,B2
862,B2
863,B2
864,B2
865,B2
866,B2
867,B2
868,B2
869,B2
870,B2
871,B2
872,B2
873,B2
876,B2
879,B2
883,B2
884,B2
890,B2
891,B2
892,B2
897,B2
898,B2
899,B2
900,B2
903,B2
904,B2
907,B2
908,B2
912,B2
915,B2
916,B2
917,B2
918,B2
919,B2
920,B2
922,B2
923,B2
924,B2
929,B2
930,B2
931,B2
932,B2
935,B2
936,B2
937,B2
938,B2
946,B2
964,B2
965,B2
966,B2
967,B2
947,B2
948,B2
949,B2
950,B2
951,B2
952,B2
953,B2
954,B2
955,B2
956,B2
958,B2
959,B2
982,C1
983,C1
984,C1
990,C1
991,C1
992,C1
995,C1
1001,C1
1095,C1
1097,C1
1006,C1
1010,C1
1011,C1
1012,C1
1015,C1
1018,C1
1019,C1
1020,C1
1025,C1
1026,C1
1029,C1
1035,C1
1036,C1
1040,C1
1045,C1
1049,C1
1051,C1
1104,C1
1105,C1
1054,C1
1057,C1
1058,C1
1065,C1
1066,C1
1070,C1
1076,C1
1078,C1
1079,C1
1081,C1
1082,C1
1083,C1
1086,C1
1089,C1
1091,C1
1092,C1
1111,C2
1115,C2
1121,C2
1123,C2
1127,C2
1128,C2
1137,C2
1138,C2
1139,C2
1143,C2
1146,C2
1147,C2
1150,C2
1152,C2
1159,C2
1160,C2
1161,C2
1162,C2
1163,C2
1164,C2
1166,C2
1167,C2
1168,C2
1172,C2
1174,C2
1176,C2
1178,C2
1182,C2
1184,C2
1185,C2
1191,C2
1192,C2
1193,C2
1194,C2
1196,C2
1197,C2
1200,C2
1201,C2
1203,C2